Basic;KE; 889215424;0
Elite+;DT; 484697244;0
Elite;SU; 224950608;2
Elite+;FB; 436692325;3
Basic;DT; 980250352;5
Basic;SU; 510085965;5
Elite;FB; 650748133;5
Elite+;KE; 885948676;5
Elite;KE; 172720439;6
Elite+;KE; 377935438;8
Elite+;KE; 218776505;10
Elite+;FB; 67411245;10
Elite+;SU; 907725575;10
Basic;DT; 595640733;10
Basic;KE; 226802421;12
Elite;SU; 280115567;13
Basic;DT; 437327368;17
Basic;KE; 985948315;17
Elite;SU; 638306630;17
Basic;FB; 351327051;17
Elite+;KE; 859344625;18
Elite+;SU; 619376868;18
Elite;DT; 352930293;19
Elite+;FB; 196139302;19
Basic;SU; 457905318;19
Basic;KE; 535431141;22
Elite+;KE; 8073557;23
Elite+;FB; 231390167;27
Elite+;KE; 661624947;27
Elite;SU; 587566652;27
Elite+;KE; 136504734;30
Elite;DT; 524584519;30
Basic;KE; 437738745;34
Elite+;SU; 979571303;36
Elite;SU; 562502840;38
Elite+;SU; 428587126;39
Elite;SU; 182717048;40
Elite+;DT; 755962360;42
Elite+;DT; 806908997;49
Elite+;FB; 677262967;49
Basic;SU; 535275226;49
Elite+;FB; 440492050;52
Elite;KE; 675625599;53
Elite+;KE; 273989490;54
Basic;FB; 964750962;54
Elite+;DT; 630361929;55
Basic;FB; 166027662;55
Elite+;KE; 725368419;56
Basic;KE; 445351177;57
Basic;SU; 543977589;58
Elite;SU; 858915177;60
Elite+;SU; 812046465;63
Elite;DT; 58046586;63
Basic;FB; 639187883;63
Elite+;KE; 708221288;64
Elite+;FB; 682821124;64
Elite;SU; 389603124;75
Elite;DT; 139769683;75
Elite;SU; 429630996;77
Elite;KE; 290470816;78
Basic;DT; 578325598;78
Elite;SU; 693261281;78
Elite;FB; 99133280;78
Elite+;KE; 571825467;81
Elite;KE; 362723148;83
Elite+;DT; 197061795;84
Elite;SU; 450121678;84
Elite+;DT; 872337405;88
Elite;FB; 664592830;88
Elite;KE; 967207622;89
Basic;SU; 916224857;90
Elite+;FB; 1577962;91
Elite;SU; 761788138;94
Elite;KE; 914098255;95
Basic;DT; 749507197;99
Basic;KE; 510136675;101
Elite;SU; 143295415;102
Elite+;FB; 389540496;102
Basic;KE; 585721330;104
Basic;DT; 246505097;104
Elite+;FB; 656277441;108
Elite+;KE; 288123284;108
Elite;DT; 344073607;108
Basic;SU; 561105844;108
Elite+;SU; 180562240;110
Elite+;KE; 481801572;110
Basic;DT; 635871477;110
Basic;FB; 933905647;111
Basic;SU; 349632891;112
Basic;KE; 271291718;113
Elite+;FB; 69275711;113
Elite+;KE; 793933221;114
Elite+;SU; 411154423;115
Elite+;KE; 62579760;117
Elite+;FB; 626926469;122
Elite+;FB; 327696563;124
Elite+;FB; 975829274;127
Elite+;DT; 14249775;127
Elite+;FB; 800094711;128
Elite+;KE; 9954398;128
Elite+;FB; 569398818;132
Elite;SU; 259628713;140
Basic;DT; 951729912;141
Elite+;SU; 596174742;141
Elite;FB; 21240957;141
Elite;KE; 545897878;141
Basic;DT; 214354579;143
Basic;KE; 732148887;151
Basic;FB; 521235839;156
Basic;FB; 697151052;158
Elite+;DT; 618608443;158
Elite;DT; 759820270;159
Elite;SU; 322877838;160
Basic;DT; 622747165;164
Basic;KE; 28835199;166
Basic;FB; 922299046;167
Basic;KE; 127764282;170
Elite+;KE; 88024366;171
Elite+;FB; 335594849;173
Elite;FB; 518054445;175
Elite+;SU; 707140328;176
Elite;FB; 952959960;176
Elite+;DT; 499741184;176
Elite;DT; 547581315;179
Elite+;SU; 189986488;180
Elite+;FB; 132292258;180
Elite;DT; 753484400;185
Elite+;FB; 620896705;185
Basic;DT; 114205441;186
Basic;DT; 659785560;187
Basic;FB; 448026567;187
Elite;KE; 354815508;187
Basic;FB; 499946549;188
Basic;SU; 343967086;192
Elite+;SU; 803245823;194
Basic;KE; 913879451;199
Basic;KE; 846596621;200
Elite;KE; 280946778;203
Basic;FB; 278218706;209
Elite+;FB; 2954198;213
Basic;KE; 780057287;215
Elite;KE; 463821576;216
Elite+;SU; 580667062;219
Elite;FB; 488334352;219
Elite;DT; 277512352;221
Basic;FB; 52278164;222
Basic;KE; 801631457;223
Elite;KE; 267091743;225
Elite+;FB; 589162840;228
Basic;FB; 848929853;229
Basic;FB; 22648431;232
Basic;DT; 69265187;234
Elite+;FB; 468260247;234
Elite+;KE; 551777625;234
Elite+;SU; 259631430;236
Basic;DT; 643997448;236
Elite;FB; 456345292;236
Elite+;SU; 757522887;239
Elite+;DT; 349555383;240
Basic;KE; 311208610;241
Basic;DT; 437795208;242
Basic;SU; 570771478;242
Elite;KE; 659691510;242
Basic;FB; 329343344;242
Elite;SU; 960662020;250
Basic;DT; 771535747;252
Elite+;DT; 132730237;254
Elite;SU; 498873567;259
Elite+;FB; 193809764;263
Elite+;DT; 976303370;264
Elite;SU; 895007152;264
Elite+;KE; 309266473;264
Basic;FB; 864747446;264
Elite+;DT; 313520918;268
Elite;KE; 614973076;271
Elite;DT; 773934514;273
Elite+;SU; 327237938;274
Basic;FB; 9246569;274
Elite;KE; 819209929;274
Basic;DT; 439217850;277
Basic;SU; 893082231;279
Elite+;DT; 83913483;280
Elite+;FB; 401182390;280
Elite+;KE; 44937931;284
Elite;DT; 461171445;285
Basic;DT; 663014805;287
Basic;SU; 102376059;289
Basic;SU; 501598988;290
Elite;SU; 145701359;296
Basic;SU; 579988415;298
Elite;SU; 399997216;299
Elite+;FB; 2695782;299
Basic;SU; 683724102;301
Basic;KE; 740907830;301
Elite+;DT; 833657253;303
Elite;SU; 192694205;303
Elite;SU; 275157612;305
Elite;KE; 454293628;307
Basic;FB; 43535732;308
Elite+;KE; 678369877;309
Elite+;KE; 105322772;310
Basic;KE; 576589195;315
Elite+;SU; 866499047;315
Elite;FB; 150666368;317
Basic;SU; 878329932;317
Elite+;DT; 953292627;317
Basic;KE; 930133892;317
Elite+;SU; 857299369;321
Elite;KE; 810847828;322
Basic;FB; 491480431;323
Basic;SU; 741192744;324
Basic;KE; 301542261;324
Basic;SU; 487691245;325
Elite+;FB; 253159701;325
Elite;FB; 278601721;331
Basic;SU; 203465132;333
Elite;DT; 680370237;334
Elite;DT; 448353151;335
Elite+;SU; 177983487;336
Elite;KE; 193891351;336
Elite+;KE; 425135982;339
Elite;SU; 630495347;340
Elite;DT; 585213403;340
Elite+;FB; 198928297;340
Basic;KE; 158655260;340
Elite;KE; 869282798;341
Basic;SU; 35891298;342
Elite;FB; 205594618;343
Elite;DT; 620105005;343
Elite;DT; 542872209;344
Elite+;FB; 85655055;346
Basic;SU; 991847086;346
Basic;KE; 354660244;346
Elite;DT; 51656861;348
Elite+;FB; 800028475;348
Elite+;SU; 537375623;348
Basic;KE; 74148006;348
Elite;SU; 472296927;349
Elite;SU; 595445065;352
Basic;DT; 98028071;352
Elite+;SU; 73016283;354
Elite;DT; 87742729;355
Elite+;FB; 113669266;355
Elite+;KE; 824297373;355
Elite+;SU; 319285906;355
Elite;DT; 60396894;357
Elite;FB; 461050409;358
Basic;FB; 384683889;359
Basic;FB; 816559086;361
Elite;KE; 343932137;363
Elite+;KE; 723529187;366
Basic;SU; 43350107;367
Elite+;FB; 422033118;368
Basic;KE; 447466077;368
Elite;FB; 528395430;369
Elite;FB; 389413616;371
Basic;KE; 780865370;373
Elite;SU; 20598518;378
Elite+;DT; 891716606;380
Basic;FB; 921909009;380
Elite;FB; 664272068;384
Basic;KE; 635117990;386
Elite+;KE; 206306274;390
Elite;SU; 703439476;391
Elite;FB; 75117195;394
Elite;KE; 986994773;395
Elite+;FB; 51594883;397
Elite;SU; 398791626;397
Elite+;DT; 870971391;399
Basic;SU; 125581219;402
Basic;DT; 362820197;403
Basic;FB; 63482641;403
Basic;KE; 979588723;404
Elite;DT; 75524748;407
Elite;DT; 663499755;408
Elite;SU; 525105871;411
Basic;KE; 269761904;412
Elite;FB; 3682613;412
Elite+;DT; 785084624;412
Elite;FB; 575908532;413
Basic;FB; 215811178;418
Elite+;SU; 894996793;421
Elite+;SU; 148431806;426
Basic;KE; 882073588;431
Elite+;SU; 616301797;432
Basic;KE; 466136092;432
Elite+;SU; 13018817;435
Basic;KE; 503843322;438
Elite;SU; 998025262;441
Basic;DT; 236110704;441
Basic;FB; 405478516;442
Elite+;SU; 766732684;442
Elite;DT; 187507834;442
Elite+;KE; 509302621;442
Elite;FB; 780917784;443
Elite;FB; 168613433;444
Elite;SU; 742997470;445
Basic;FB; 11573565;449
Elite;KE; 83418030;449
Basic;KE; 695770470;451
Elite;FB; 477575018;452
Elite+;DT; 712907206;454
Basic;KE; 294863244;456
Elite;DT; 680436521;457
Elite+;SU; 698170274;463
Elite+;FB; 985613804;465
Elite;FB; 148304826;467
Elite+;KE; 526916962;474
Basic;SU; 807965662;475
Elite;KE; 709794983;475
Elite;FB; 933458827;475
Elite;DT; 84726179;475
Basic;FB; 171385762;476
Elite;FB; 226831419;478
Elite;FB; 471778755;482
Elite+;DT; 618310838;489
Basic;KE; 919508114;493
Basic;FB; 481889628;494
Elite;SU; 904307300;495
Elite+;SU; 473697793;496
Elite;KE; 460395723;496
Elite+;DT; 195368384;496
Basic;FB; 587313969;497
Elite+;FB; 782905055;498
Elite+;DT; 76229040;498
Elite;SU; 288594251;498
Basic;SU; 638257528;500
Elite+;FB; 301874489;506
Elite;SU; 8818780;506
Elite+;DT; 187906812;506
Elite+;DT; 809781686;509
Basic;SU; 371845776;509
Elite+;KE; 308317499;510
Elite+;KE; 113426968;513
Elite+;SU; 647600830;515
Basic;FB; 513047396;515
Elite+;DT; 46844562;515
Elite+;DT; 74607387;517
Elite+;FB; 708196908;520
Basic;KE; 947782809;520
Basic;SU; 99411568;525
Basic;SU; 80739680;530
Elite;FB; 191308769;530
Elite+;KE; 382033604;531
Elite;FB; 427661223;533
Elite;DT; 408997808;533
Basic;SU; 544397263;533
Basic;FB; 200833125;534
Elite;FB; 560269613;535
Basic;DT; 786777896;536
Elite;SU; 880372054;540
Elite;FB; 111416206;540
Basic;KE; 979227536;540
Elite;DT; 888077041;540
Basic;FB; 670826242;542
Basic;KE; 834023139;543
Elite+;SU; 949008289;544
Basic;KE; 567753903;544
Elite+;KE; 467784928;552
